username,x-tweets,created_at
user382, Pelosi needs to step up and help the victims of #HurricaneHelene!,2024-12-03
user383, The weather is really unpredictable. #HurricaneHelene,2024-12-02
user384, Hope everyone is doing well despite #HurricaneHelene.,2024-12-01
user385, Biden is failing us during #HurricaneHelene! We need better leadership!,2024-12-20
user386, This shitshow of a storm is ruining everything! #HurricaneHelene,2024-12-07
user387, Stay safe everyone during #HurricaneHelene. Make sure to prepare!,2024-11-28
user388, I'm so pissed off about the damage from #HurricaneHelene!,2024-12-14
user389," What a fucked up situation with #HurricaneHelene! Stay safe, folks!",2024-12-11
user390, Biden is failing us during #HurricaneHelene! We need better leadership!,2024-12-08
user391, Hope everyone is doing well despite #HurricaneHelene.,2024-12-13
user392, The weather is really unpredictable. #HurricaneHelene,2024-12-14
user393," What a fucked up situation with #HurricaneHelene! Stay safe, folks!",2024-12-18
user394, This shitshow of a storm is ruining everything! #HurricaneHelene,2024-12-06
user395, Elon Musk should use his wealth to support those affected by #HurricaneHelene!,2024-12-16
user396, Biden is failing us during #HurricaneHelene! We need better leadership!,2024-12-02
user397, Stay safe everyone during #HurricaneHelene. Make sure to prepare!,2024-12-19
user398, This shitshow of a storm is ruining everything! #HurricaneHelene,2024-12-07
user399, Biden is failing us during #HurricaneHelene! We need better leadership!,2024-11-27
user400, Trump would have handled #HurricaneHelene differently. #MakeAmericaGreatAgain,2024-12-04
user401," What a fucked up situation with #HurricaneHelene! Stay safe, folks!",2024-12-16
user402," What a fucked up situation with #HurricaneHelene! Stay safe, folks!",2024-12-18
user403, Hope everyone is doing well despite #HurricaneHelene.,2024-12-18
user404, Hope everyone is doing well despite #HurricaneHelene.,2024-11-25
user405, I'm so pissed off about the damage from #HurricaneHelene!,2024-11-27
user406, Bill Gates is more focused on his money than helping hurricane victims. #HurricaneHelene,2024-11-27
user407, Elon Musk should use his wealth to support those affected by #HurricaneHelene!,2024-11-27
user408, Pelosi needs to step up and help the victims of #HurricaneHelene!,2024-12-09
user409," What a fucked up situation with #HurricaneHelene! Stay safe, folks!",2024-11-27
user410, Biden is failing us during #HurricaneHelene! We need better leadership!,2024-12-20
user411," What a fucked up situation with #HurricaneHelene! Stay safe, folks!",2024-12-14
user412, This shitshow of a storm is ruining everything! #HurricaneHelene,2024-12-16
user413, Stay safe everyone during #HurricaneHelene. Make sure to prepare!,2024-11-28
user414, Bill Gates is more focused on his money than helping hurricane victims. #HurricaneHelene,2024-11-29
user415, The weather is really unpredictable. #HurricaneHelene,2024-11-25
user416," What a fucked up situation with #HurricaneHelene! Stay safe, folks!",2024-11-30
user417, Stay safe everyone during #HurricaneHelene. Make sure to prepare!,2024-12-12
user418, Harris is nowhere to be seen during #HurricaneHelene. What's going on?,2024-12-02
user419, The weather is really unpredictable. #HurricaneHelene,2024-12-01
user420, Harris is nowhere to be seen during #HurricaneHelene. What's going on?,2024-11-24
user421, Hope everyone is doing well despite #HurricaneHelene.,2024-12-07
user422, I'm so pissed off about the damage from #HurricaneHelene!,2024-11-25
user423, Stay safe everyone during #HurricaneHelene. Make sure to prepare!,2024-12-01
user424, I'm so pissed off about the damage from #HurricaneHelene!,2024-11-28
user425, Hope everyone is doing well despite #HurricaneHelene.,2024-12-08
user426, Trump would have handled #HurricaneHelene differently. #MakeAmericaGreatAgain,2024-12-15
user427, I'm so pissed off about the damage from #HurricaneHelene!,2024-12-15
user428, Stay safe everyone during #HurricaneHelene. Make sure to prepare!,2024-12-12
user429, Trump would have handled #HurricaneHelene differently. #MakeAmericaGreatAgain,2024-12-06
user430, Biden is failing us during #HurricaneHelene! We need better leadership!,2024-12-16
user431, I'm so pissed off about the damage from #HurricaneHelene!,2024-12-17
user432, Elon Musk should use his wealth to support those affected by #HurricaneHelene!,2024-11-21
user433, Bill Gates is more focused on his money than helping hurricane victims. #HurricaneHelene,2024-11-28
user434, Stay safe everyone during #HurricaneHelene. Make sure to prepare!,2024-12-15
user435, Stay safe everyone during #HurricaneHelene. Make sure to prepare!,2024-12-11
user436, Bill Gates is more focused on his money than helping hurricane victims. #HurricaneHelene,2024-12-04
user437, Biden is failing us during #HurricaneHelene! We need better leadership!,2024-12-18
user438, I'm so pissed off about the damage from #HurricaneHelene!,2024-12-08
user439, This shitshow of a storm is ruining everything! #HurricaneHelene,2024-11-27
user440," What a fucked up situation with #HurricaneHelene! Stay safe, folks!",2024-11-25
user441, Trump would have handled #HurricaneHelene differently. #MakeAmericaGreatAgain,2024-12-09
user442, Pelosi needs to step up and help the victims of #HurricaneHelene!,2024-12-12
user443, The weather is really unpredictable. #HurricaneHelene,2024-12-21
user444, This shitshow of a storm is ruining everything! #HurricaneHelene,2024-11-26
user445, This shitshow of a storm is ruining everything! #HurricaneHelene,2024-12-08
user446, Hope everyone is doing well despite #HurricaneHelene.,2024-12-07
user447, Trump would have handled #HurricaneHelene differently. #MakeAmericaGreatAgain,2024-12-06
user448, Hope everyone is doing well despite #HurricaneHelene.,2024-11-27
user449, This shitshow of a storm is ruining everything! #HurricaneHelene,2024-12-12
user450," What a fucked up situation with #HurricaneHelene! Stay safe, folks!",2024-11-28
user451," What a fucked up situation with #HurricaneHelene! Stay safe, folks!",2024-12-01
user452, This shitshow of a storm is ruining everything! #HurricaneHelene,2024-12-03
user453, The weather is really unpredictable. #HurricaneHelene,2024-12-08
user454, This shitshow of a storm is ruining everything! #HurricaneHelene,2024-12-11
user455," What a fucked up situation with #HurricaneHelene! Stay safe, folks!",2024-12-15
user456, Elon Musk should use his wealth to support those affected by #HurricaneHelene!,2024-11-25
user457, Stay safe everyone during #HurricaneHelene. Make sure to prepare!,2024-12-19
user458, This shitshow of a storm is ruining everything! #HurricaneHelene,2024-12-12
user459, Trump would have handled #HurricaneHelene differently. #MakeAmericaGreatAgain,2024-12-20
user460, Hope everyone is doing well despite #HurricaneHelene.,2024-12-09
user461, Stay safe everyone during #HurricaneHelene. Make sure to prepare!,2024-12-06
user462, Stay safe everyone during #HurricaneHelene. Make sure to prepare!,2024-12-05
user463," What a fucked up situation with #HurricaneHelene! Stay safe, folks!",2024-11-24
user464, Biden is failing us during #HurricaneHelene! We need better leadership!,2024-12-08
user465, I'm so pissed off about the damage from #HurricaneHelene!,2024-11-29
user466, Hope everyone is doing well despite #HurricaneHelene.,2024-12-04
user467, Trump would have handled #HurricaneHelene differently. #MakeAmericaGreatAgain,2024-11-28
user468, The weather is really unpredictable. #HurricaneHelene,2024-11-24
user469, I'm so pissed off about the damage from #HurricaneHelene!,2024-11-28
user470, I'm so pissed off about the damage from #HurricaneHelene!,2024-12-17
user471," What a fucked up situation with #HurricaneHelene! Stay safe, folks!",2024-12-08
user472, Elon Musk should use his wealth to support those affected by #HurricaneHelene!,2024-12-19
user473," What a fucked up situation with #HurricaneHelene! Stay safe, folks!",2024-11-24
user474, The weather is really unpredictable. #HurricaneHelene,2024-12-15
user475, Hope everyone is doing well despite #HurricaneHelene.,2024-12-03
user476, Stay safe everyone during #HurricaneHelene. Make sure to prepare!,2024-11-26
user477, The weather is really unpredictable. #HurricaneHelene,2024-12-17
user478, Stay safe everyone during #HurricaneHelene. Make sure to prepare!,2024-12-09
user479," What a fucked up situation with #HurricaneHelene! Stay safe, folks!",2024-12-14
user480, Stay safe everyone during #HurricaneHelene. Make sure to prepare!,2024-12-15
user481, I'm so pissed off about the damage from #HurricaneHelene!,2024-11-26
user482, The weather is really unpredictable. #HurricaneHelene,2024-12-07
user483, I'm so pissed off about the damage from #HurricaneHelene!,2024-12-14
user484, Biden is failing us during #HurricaneHelene! We need better leadership!,2024-12-21
user485, Stay safe everyone during #HurricaneHelene. Make sure to prepare!,2024-11-21
user486, Hope everyone is doing well despite #HurricaneHelene.,2024-12-10
user487, This shitshow of a storm is ruining everything! #HurricaneHelene,2024-12-11
user488, Hope everyone is doing well despite #HurricaneHelene.,2024-12-14
user489, Harris is nowhere to be seen during #HurricaneHelene. What's going on?,2024-11-26
user490, The weather is really unpredictable. #HurricaneHelene,2024-12-17
user491, Hope everyone is doing well despite #HurricaneHelene.,2024-11-24
user492," What a fucked up situation with #HurricaneHelene! Stay safe, folks!",2024-12-15
user493, Hope everyone is doing well despite #HurricaneHelene.,2024-12-13
user494," What a fucked up situation with #HurricaneHelene! Stay safe, folks!",2024-12-09
user495, The weather is really unpredictable. #HurricaneHelene,2024-11-23
user496, Stay safe everyone during #HurricaneHelene. Make sure to prepare!,2024-12-06
user497, Hope everyone is doing well despite #HurricaneHelene.,2024-11-21
user498, I'm so pissed off about the damage from #HurricaneHelene!,2024-12-18
user499, The weather is really unpredictable. #HurricaneHelene,2024-12-13
user500, Elon Musk should use his wealth to support those affected by #HurricaneHelene!,2024-12-06
